|6.6.6
mars_s99_ath_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  4201.00        602.953        13.5803                 NaN   43.1573                 NaN   7.88955                 NaN            NaN            NaN            NaN            NaN   35.0442                 NaN  0.328640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        609.388        13.4783                 NaN   43.1715                 NaN   7.95071                 NaN            NaN            NaN            NaN            NaN   35.1158                 NaN  0.283673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        615.789        13.4634                 NaN   43.1749                 NaN   7.95974                 NaN            NaN            NaN            NaN            NaN   35.1248                 NaN  0.277174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        622.159        13.6218                 NaN   43.2204                 NaN   7.85816                 NaN            NaN            NaN            NaN            NaN   35.0092                 NaN  0.290433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        628.497        13.6128                 NaN   43.2278                 NaN   7.86300                 NaN            NaN            NaN            NaN            NaN   35.0140                 NaN  0.282398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        634.803        13.6078                 NaN   43.2384                 NaN   7.86501                 NaN            NaN            NaN            NaN            NaN   35.0160                 NaN  0.272762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        641.077        13.5882                 NaN   43.2372                 NaN   7.87720                 NaN            NaN            NaN            NaN            NaN   35.0284                 NaN  0.268971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        647.319        13.5997                 NaN   43.2661                 NaN   7.86723                 NaN            NaN            NaN            NaN            NaN   35.0187                 NaN  0.248355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        653.531        13.6127                 NaN   43.2966                 NaN   7.85616                 NaN            NaN            NaN            NaN            NaN   35.0078                 NaN  0.226784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        659.710        13.6498                 NaN   43.3466                 NaN   7.82825                 NaN            NaN            NaN            NaN            NaN   34.9798                 NaN  0.195587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        665.859        13.3639                 NaN   43.2482                 NaN   8.01422                 NaN            NaN            NaN            NaN            NaN   35.1833                 NaN  0.190372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        671.976        13.3441                 NaN   43.2513                 NaN   8.02605                 NaN            NaN            NaN            NaN            NaN   35.1960                 NaN  0.182495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        678.062        13.3254                 NaN   43.2556                 NaN   8.03703                 NaN            NaN            NaN            NaN            NaN   35.2080                 NaN  0.173862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        684.118        13.4362                 NaN   43.2486                 NaN   7.96904                 NaN            NaN            NaN            NaN            NaN   35.1268                 NaN  0.219348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        690.143        13.2875                 NaN   43.2640                 NaN   8.05930                 NaN            NaN            NaN            NaN            NaN   35.2325                 NaN  0.156736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        696.137        13.2689                 NaN   43.2686                 NaN   8.07017                 NaN            NaN            NaN            NaN            NaN   35.2445                 NaN  0.147900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        702.101        13.2625                 NaN   43.2618                 NaN   8.07418                 NaN            NaN            NaN            NaN            NaN   35.2483                 NaN  0.153221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        708.034        13.1669                 NaN   43.2617                 NaN   8.13385                 NaN            NaN            NaN            NaN            NaN   35.3144                 NaN  0.123144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        713.938        13.9313                 NaN   43.6821                 NaN   7.62138                 NaN            NaN            NaN            NaN            NaN   34.7652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        719.811        13.4433                 NaN   43.3635                 NaN   7.95266                 NaN            NaN            NaN            NaN            NaN   35.1133                 NaN  0.127276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        725.654        13.0751                 NaN   43.1095                 NaN   8.20339                 NaN            NaN            NaN            NaN            NaN   35.3763                 NaN  0.235703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        731.468        13.2639                 NaN   43.2751                 NaN   8.07134                 NaN            NaN            NaN            NaN            NaN   35.2392                 NaN  0.150517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        737.251        13.1158                 NaN   43.3181                 NaN   8.15985                 NaN            NaN            NaN            NaN            NaN   35.3431                 NaN  0.631893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        743.005        13.3454                 NaN   43.3712                 NaN   8.01135                 NaN            NaN            NaN            NaN            NaN   35.1783                 NaN  0.937940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        748.730        13.3193                 NaN   43.3751                 NaN   8.02684                 NaN            NaN            NaN            NaN            NaN   35.1957                 NaN  0.830539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        754.426        13.5991                 NaN   43.5717                 NaN   7.83465                 NaN            NaN            NaN            NaN            NaN   34.9946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        760.092        13.5906                 NaN   43.5699                 NaN   7.83888                 NaN            NaN            NaN            NaN            NaN   35.0006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        765.729        12.9241                 NaN   43.1902                 NaN   8.28810                 NaN            NaN            NaN            NaN            NaN   35.4744                 NaN  0.123244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        771.337        12.9231                 NaN   43.1912                 NaN   8.28826                 NaN            NaN            NaN            NaN            NaN   35.4742                 NaN  0.123245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        776.916        13.0221                 NaN   43.2785                 NaN   8.21846                 NaN            NaN            NaN            NaN            NaN   35.4024                 NaN  0.786453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        782.466        13.1108                 NaN   43.3544                 NaN   8.15594                 NaN            NaN            NaN            NaN            NaN   35.3377                 NaN  0.410939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        787.988        13.0697                 NaN   43.3504                 NaN   8.18153                 NaN            NaN            NaN            NaN            NaN   35.3659                 NaN  0.325439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        793.482        13.1940                 NaN   43.4337                 NaN   8.09562                 NaN            NaN            NaN            NaN            NaN   35.2766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        798.947        13.1877                 NaN   43.4327                 NaN   8.09810                 NaN            NaN            NaN            NaN            NaN   35.2815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        804.384        13.1856                 NaN   43.4333                 NaN   8.09738                 NaN            NaN            NaN            NaN            NaN   35.2836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        809.792        12.5107                 NaN   43.0908                 NaN   8.55173                 NaN            NaN            NaN            NaN            NaN   35.7602                 NaN  0.866541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        815.173        12.6064                 NaN   43.1743                 NaN   8.48412                 NaN            NaN            NaN            NaN            NaN   35.6909                 NaN  0.443501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        820.526        12.7727                 NaN   43.2862                 NaN   8.36950                 NaN            NaN            NaN            NaN            NaN   35.5716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        825.851        12.7138                 NaN   43.2660                 NaN   8.40730                 NaN            NaN            NaN            NaN            NaN   35.6129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        831.148        11.5640                 NaN   42.8445                 NaN   9.16897                 NaN            NaN            NaN            NaN            NaN   36.4224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        836.418        11.5206                 NaN   42.8303                 NaN   9.19001                 NaN            NaN            NaN            NaN            NaN   36.4592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        841.661        11.4413                 NaN   42.8025                 NaN   9.24129                 NaN            NaN            NaN            NaN            NaN   36.5149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        846.876        8.18971                 NaN   41.6125                 NaN   11.3614                 NaN            NaN            NaN            NaN            NaN   38.8364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        852.064        11.2132                 NaN   42.7216                 NaN   9.39458                 NaN            NaN            NaN            NaN            NaN   36.6706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        857.224        11.2097                 NaN   42.7216                 NaN   9.39653                 NaN            NaN            NaN            NaN            NaN   36.6722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        862.358        8.34290                 NaN   41.6719                 NaN   11.2672                 NaN            NaN            NaN            NaN            NaN   38.7181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        867.466        12.1408                 NaN   43.0663                 NaN   8.77803                 NaN            NaN            NaN            NaN            NaN   36.0149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        872.546        12.0656                 NaN   43.0400                 NaN   8.82656                 NaN            NaN            NaN            NaN            NaN   36.0679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        877.600        12.1488                 NaN   43.0718                 NaN   8.76942                 NaN            NaN            NaN            NaN            NaN   36.0100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        882.627        12.1479                 NaN   43.0728                 NaN   8.76956                 NaN            NaN            NaN            NaN            NaN   36.0098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        887.628        11.4717                 NaN   42.8257                 NaN   9.21590                 NaN            NaN            NaN            NaN            NaN   36.4867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        892.602        11.7014                 NaN   42.9114                 NaN   9.06397                 NaN            NaN            NaN            NaN            NaN   36.3232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        897.551        11.6008                 NaN   42.8757                 NaN   9.12956                 NaN            NaN            NaN            NaN            NaN   36.3939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        902.473        11.4476                 NaN   42.8206                 NaN   9.23008                 NaN            NaN            NaN            NaN            NaN   36.5018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        907.370        11.2891                 NaN   42.7635                 NaN   9.33406                 NaN            NaN            NaN            NaN            NaN   36.6133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        912.241        11.3658                 NaN   42.7929                 NaN   9.28212                 NaN            NaN            NaN            NaN            NaN   36.5592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        917.086        11.2554                 NaN   42.7535                 NaN   9.35428                 NaN            NaN            NaN            NaN            NaN   36.6368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        921.905        11.1448                 NaN   42.7141                 NaN   9.42655                 NaN            NaN            NaN            NaN            NaN   36.7146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        926.699        11.0341                 NaN   42.6745                 NaN   9.49894                 NaN            NaN            NaN            NaN            NaN   36.7925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        931.467        10.7543                 NaN   42.5729                 NaN   9.68174                 NaN            NaN            NaN            NaN            NaN   36.9911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        936.211        10.8713                 NaN   42.6170                 NaN   9.60616                 NaN            NaN            NaN            NaN            NaN   36.9055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        940.929        10.7678                 NaN   42.5801                 NaN   9.67356                 NaN            NaN            NaN            NaN            NaN   36.9785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        945.622        9.09943                 NaN   41.9689                 NaN   10.7960                 NaN            NaN            NaN            NaN            NaN   38.1357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        950.290        9.32876                 NaN   42.0543                 NaN   10.6507                 NaN            NaN            NaN            NaN            NaN   37.9663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        954.933        9.18982                 NaN   42.0043                 NaN   10.7429                 NaN            NaN            NaN            NaN            NaN   38.0629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        959.552        9.01791                 NaN   41.9423                 NaN   10.8614                 NaN            NaN            NaN            NaN            NaN   38.1784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        964.146        8.87790                 NaN   41.8918                 NaN   10.9546                 NaN            NaN            NaN            NaN            NaN   38.2757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        968.715        8.93520                 NaN   41.9137                 NaN   10.9048                 NaN            NaN            NaN            NaN            NaN   38.2463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        973.261        7.97872                 NaN   41.5633                 NaN   11.5490                 NaN            NaN            NaN            NaN            NaN   38.9090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
