|6.6.6
mars_kc08_atm_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  4801.00        515.927        60.0647                 NaN   9.11326                 NaN            NaN            NaN   3.78459                 NaN   27.0374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        519.962        60.0635                 NaN   9.11347                 NaN            NaN            NaN   3.78251                 NaN   27.0405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        523.985        60.0636                 NaN   9.11377                 NaN            NaN            NaN   3.78169                 NaN   27.0410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        527.998        60.0629                 NaN   9.11409                 NaN            NaN            NaN   3.78025                 NaN   27.0427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        532.001        60.0629                 NaN   9.11440                 NaN            NaN            NaN   3.77939                 NaN   27.0433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        535.993        60.0614                 NaN   9.11460                 NaN            NaN            NaN   3.77701                 NaN   27.0470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        539.974        60.0612                 NaN   9.11491                 NaN            NaN            NaN   3.77602                 NaN   27.0478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        543.945        60.0623                 NaN   9.11515                 NaN            NaN            NaN   3.77593                 NaN   27.0466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        547.905        60.0621                 NaN   9.11546                 NaN            NaN            NaN   3.77492                 NaN   27.0475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        551.854        60.0630                 NaN   9.11571                 NaN            NaN            NaN   3.77479                 NaN   27.0465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        555.794        60.0627                 NaN   9.11602                 NaN            NaN            NaN   3.77376                 NaN   27.0475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        559.722        60.0886                 NaN   9.11599                 NaN            NaN            NaN   3.79518                 NaN   27.0002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        563.641        60.0633                 NaN   9.11658                 NaN            NaN            NaN   3.77252                 NaN   27.0476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        567.548        60.0641                 NaN   9.11684                 NaN            NaN            NaN   3.77230                 NaN   27.0468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        571.446        60.0935                 NaN   9.11640                 NaN            NaN            NaN   3.79631                 NaN   26.9937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        575.333        60.0644                 NaN   9.11742                 NaN            NaN            NaN   3.77093                 NaN   27.0472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
