|6.6.6
mars_bf97_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            NaAl           ca-pv          Pv            
  3601.00        398.885        20.5174                 NaN   96.5488                 NaN   30.7840                 NaN            NaN            NaN   15.1549        15.1549        15.1549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        401.986        20.4409                 NaN   96.5445                 NaN   30.8385                 NaN            NaN            NaN   15.2846        15.2846        15.2846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        405.082        20.4329                 NaN   96.5443                 NaN   30.8440                 NaN            NaN            NaN   15.2984        15.2984        15.2984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        408.172        20.4240                 NaN   96.5443                 NaN   30.8511                 NaN            NaN            NaN   15.3151        15.3151        15.3151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        411.257        20.4167                 NaN   96.5436                 NaN   30.8543                 NaN            NaN            NaN   15.3248        15.3248        15.3248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        414.336        20.4266                 NaN   96.5446                 NaN   30.8452                 NaN            NaN            NaN   15.3037        15.3037        15.3037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        417.410        20.4259                 NaN   96.5445                 NaN   30.8446                 NaN            NaN            NaN   15.3035        15.3035        15.3035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        420.478        20.4225                 NaN   96.5453                 NaN   30.8492                 NaN            NaN            NaN   15.3124        15.3124        15.3124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        423.541        20.3897                 NaN   96.5436                 NaN   30.8734                 NaN            NaN            NaN   15.3699        15.3699        15.3699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        426.599        18.7390        18.7390        96.5042                 NaN   21.8898        32.3962                 NaN            NaN   18.7390        18.7390        18.7390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        429.651        20.3699                 NaN   96.5433                 NaN   30.8887                 NaN            NaN            NaN   15.4057        15.4057        15.4057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        432.697        20.3563                 NaN   96.5431                 NaN   30.8995                 NaN            NaN            NaN   15.4307        15.4307        15.4307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        435.739        20.3439                 NaN   96.5428                 NaN   30.9093                 NaN            NaN            NaN   15.4535        15.4535        15.4535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        438.774        20.3382                 NaN   96.5429                 NaN   30.9138                 NaN            NaN            NaN   15.4641        15.4641        15.4641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        441.805        20.3375                 NaN   96.5429                 NaN   30.9132                 NaN            NaN            NaN   15.4639        15.4639        15.4639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        444.830        20.3369                 NaN   96.5429                 NaN   30.9126                 NaN            NaN            NaN   15.4636        15.4636        15.4636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        447.850        20.3363                 NaN   96.5429                 NaN   30.9121                 NaN            NaN            NaN   15.4634        15.4634        15.4634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        450.864        18.7313        18.7313        96.5045                 NaN   29.3239        32.3918                 NaN            NaN   18.7313        18.7313        18.7313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
