|6.6.6
mars_ma79_2.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          13
P(bar)         T(K)           Pl             O              Opx            Cpx            Sp             Gt             Wus            Wad            Ring           ca-pv          Pv            
  3901.00        1271.61        19.7593        63.8064        8.07242        8.36183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        1272.41        19.7586        63.8073        8.07228        8.36188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        1273.22        20.0562        63.9113        7.92316        8.10934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        1274.02        20.0103        63.8965        7.94742        8.14575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        1274.83        19.9644        63.8817        7.97169        8.18216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        1275.64        19.9185        63.8669        7.99596        8.21857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        1276.44        19.8727        63.8521        8.02023        8.25499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        1277.25        19.8268        63.8373        8.04450        8.29141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        1278.05        19.7809        63.8225        8.06877        8.32784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        1278.86        19.7522        63.8144        8.07112        8.36226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        1279.67        19.7514        63.8153        8.07098        8.36230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        1280.47        19.7507        63.8162        8.07083        8.36235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        1281.28        19.7955        63.8324        8.05525        8.31690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        1282.08        19.7629        63.8222        8.07212        8.34284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        1282.89        19.7303        63.8120        8.08899        8.36879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        1283.69        19.6976        63.8017        8.10586        8.39474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        1284.50        19.6650        63.7915        8.12274        8.42069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        1285.30        19.6324        63.7813        8.13961        8.44664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        1286.11        19.5998        63.7711        8.15648        8.47260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        1286.91        19.5672        63.7609        8.17336        8.49855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        1287.72        19.5346        63.7506        8.19023        8.52451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        1288.52        19.5020        63.7404        8.20711        8.55047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        1289.33        19.4147        63.7110        8.25456        8.61975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        1290.13        19.3890        63.7032        8.26757        8.64025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        1290.94        19.3633        63.6954        8.28059        8.66074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        1291.74        19.3376        63.6875        8.29361        8.68124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        1292.54        19.3119        63.6797        8.30662        8.70174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        1293.35        19.2863        63.6719        8.31964        8.72224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        1294.15        19.2606        63.6640        8.33266        8.74274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        1294.96        19.2349        63.6562        8.34568        8.76324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        1295.76        19.2092        63.6483        8.35870        8.78375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        1296.56        19.1835        63.6405        8.37172        8.80426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        1297.37        19.1578        63.6326        8.38474        8.82477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        1298.17        19.1322        63.6248        8.39776        8.84528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        1298.97        19.1065        63.6169        8.41078        8.86579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        1299.78        19.0808        63.6091        8.42381        8.88631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        1300.58        19.1848        63.6467        8.36440        8.80417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        1301.38        19.1338        63.6299        8.39154        8.84470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        1302.19        19.0829        63.6132        8.41869        8.88523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        1302.99        19.0319        63.5965        8.44584        8.92577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        1303.79        18.9809        63.5797        8.47300        8.96632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        1304.59        18.9300        63.5630        8.50016        9.00688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        1305.40        18.9228        63.5616        8.50351        9.01210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        1306.20        18.9221        63.5624        8.50336        9.01215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        1307.00        18.9214        63.5632        8.50322        9.01220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        1307.80        18.9207        63.5640        8.50307        9.01224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        1308.61                 NaN   50.1613        20.6686        23.0098        6.16025                 NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        1309.41                 NaN   50.1616        20.6681        23.0098        6.16043                 NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        1310.21                 NaN   50.1620        20.6676        23.0098        6.16062                 NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        1311.01                 NaN   50.1623        20.6672        23.0097        6.16081                 NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        1311.81                 NaN   50.1668        20.6626        23.0134        6.15716                 NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        1312.61                 NaN   50.1720        20.6574        23.0177        6.15289                 NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        1313.41                 NaN   50.1773        20.6522        23.0220        6.14861                 NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        1314.22                 NaN   50.1825        20.6469        23.0262        6.14434                 NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        1315.02                 NaN   50.1877        20.6417        23.0305        6.14006                 NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        1315.82                 NaN   50.1929        20.6365        23.0348        6.13579                 NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        1316.62                 NaN   50.1981        20.6313        23.0391        6.13151                 NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        1317.42                 NaN   50.2034        20.6261        23.0433        6.12724                 NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        1318.22                 NaN   50.2086        20.6209        23.0476        6.12296                 NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        1319.02                 NaN   50.2138        20.6156        23.0519        6.11868                 NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        1319.82                 NaN   50.2190        20.6104        23.0562        6.11440                 NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        1320.62                 NaN   50.2242        20.6052        23.0604        6.11013                 NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        1321.42                 NaN   50.2295        20.6001        23.0646        6.10583                 NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        1322.22                 NaN   50.2347        20.5949        23.0689        6.10155                 NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        1323.02                 NaN   50.2399        20.5897        23.0732        6.09727                 NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        1323.82                 NaN   50.2451        20.5845        23.0774        6.09299                 NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        1324.62                 NaN   50.2503        20.5793        23.0817        6.08871                 NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        1325.42                 NaN   50.2556        20.5740        23.0860        6.08443                 NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        1326.22                 NaN   50.2608        20.5688        23.0902        6.08015                 NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        1327.02                 NaN   50.2660        20.5636        23.0945        6.07587                 NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        1327.81                 NaN   50.2712        20.5584        23.0988        6.07159                 NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        1328.61                 NaN   50.2764        20.5532        23.1031        6.06730                 NaN            NaN            NaN            NaN            NaN            NaN
  11101.0        1329.41                 NaN   50.2816        20.5480        23.1073        6.06302                 NaN            NaN            NaN            NaN            NaN            NaN
  11201.0        1330.21                 NaN   50.2868        20.5428        23.1116        6.05874                 NaN            NaN            NaN            NaN            NaN            NaN
  11301.0        1331.01                 NaN   50.2920        20.5376        23.1159        6.05446                 NaN            NaN            NaN            NaN            NaN            NaN
  11401.0        1331.81                 NaN   50.2972        20.5324        23.1202        6.05018                 NaN            NaN            NaN            NaN            NaN            NaN
  11501.0        1332.60                 NaN   50.3024        20.5271        23.1245        6.04591                 NaN            NaN            NaN            NaN            NaN            NaN
  11601.0        1333.40                 NaN   50.3076        20.5220        23.1288        6.04162                 NaN            NaN            NaN            NaN            NaN            NaN
  11701.0        1334.20                 NaN   50.3128        20.5167        23.1331        6.03734                 NaN            NaN            NaN            NaN            NaN            NaN
  11801.0        1335.00                 NaN   50.3181        20.5116        23.1373        6.03304                 NaN            NaN            NaN            NaN            NaN            NaN
  11901.0        1335.79                 NaN   50.3233        20.5064        23.1416        6.02876                 NaN            NaN            NaN            NaN            NaN            NaN
  12001.0        1336.59                 NaN   50.3285        20.5012        23.1458        6.02448                 NaN            NaN            NaN            NaN            NaN            NaN
  12101.0        1337.39                 NaN   50.3337        20.4960        23.1501        6.02019                 NaN            NaN            NaN            NaN            NaN            NaN
  12201.0        1338.18                 NaN   50.3389        20.4908        23.1544        6.01592                 NaN            NaN            NaN            NaN            NaN            NaN
  12301.0        1338.98                 NaN   50.3441        20.4856        23.1587        6.01162                 NaN            NaN            NaN            NaN            NaN            NaN
  12401.0        1339.78                 NaN   50.3493        20.4804        23.1630        6.00734                 NaN            NaN            NaN            NaN            NaN            NaN
  12501.0        1340.57                 NaN   50.3545        20.4752        23.1672        6.00305                 NaN            NaN            NaN            NaN            NaN            NaN
  12601.0        1341.37                 NaN   50.3597        20.4700        23.1715        5.99877                 NaN            NaN            NaN            NaN            NaN            NaN
  12701.0        1342.17                 NaN   50.3649        20.4648        23.1758        5.99448                 NaN            NaN            NaN            NaN            NaN            NaN
  12801.0        1342.96                 NaN   50.3701        20.4596        23.1801        5.99019                 NaN            NaN            NaN            NaN            NaN            NaN
  12901.0        1343.76                 NaN   50.3714        20.4582        23.1809        5.98946                 NaN            NaN            NaN            NaN            NaN            NaN
  13001.0        1344.55                 NaN   50.3717        20.4577        23.1809        5.98963                 NaN            NaN            NaN            NaN            NaN            NaN
  13101.0        1345.35                 NaN   50.3720        20.4573        23.1809        5.98981                 NaN            NaN            NaN            NaN            NaN            NaN
  13201.0        1346.14                 NaN   50.3723        20.4568        23.1809        5.98999                 NaN            NaN            NaN            NaN            NaN            NaN
  13301.0        1346.94                 NaN   57.9142        1.40512        18.6189                 NaN   22.0618                 NaN            NaN            NaN            NaN            NaN
  13401.0        1347.73                 NaN   57.9141        1.40508        18.6187                 NaN   22.0621                 NaN            NaN            NaN            NaN            NaN
  13501.0        1348.53                 NaN   57.9139        1.40503        18.6185                 NaN   22.0625                 NaN            NaN            NaN            NaN            NaN
  13601.0        1349.32                 NaN   57.9138        1.40499        18.6184                 NaN   22.0629                 NaN            NaN            NaN            NaN            NaN
  13701.0        1350.12                 NaN   57.9149        1.37790        18.6172                 NaN   22.0900                 NaN            NaN            NaN            NaN            NaN
  13801.0        1350.91                 NaN   57.9163        1.34330        18.6157                 NaN   22.1247                 NaN            NaN            NaN            NaN            NaN
  13901.0        1351.71                 NaN   57.9178        1.30870        18.6142                 NaN   22.1593                 NaN            NaN            NaN            NaN            NaN
  14001.0        1352.50                 NaN   57.9185        1.28751        18.6168                 NaN   22.1772                 NaN            NaN            NaN            NaN            NaN
  14101.0        1353.29                 NaN   57.9207        1.23950        18.6112                 NaN   22.2286                 NaN            NaN            NaN            NaN            NaN
  14201.0        1354.09                 NaN   57.9221        1.20490        18.6097                 NaN   22.2633                 NaN            NaN            NaN            NaN            NaN
  14301.0        1354.88                 NaN   57.9236        1.17029        18.6082                 NaN   22.2980                 NaN            NaN            NaN            NaN            NaN
  14401.0        1355.67                 NaN   57.9250        1.13569        18.6067                 NaN   22.3326                 NaN            NaN            NaN            NaN            NaN
  14501.0        1356.47                 NaN   57.9254        1.12014        18.6111                 NaN   22.3434                 NaN            NaN            NaN            NaN            NaN
  14601.0        1357.26                 NaN   57.9267        1.08700        18.6100                 NaN   22.3763                 NaN            NaN            NaN            NaN            NaN
  14701.0        1358.05                 NaN   57.9274        1.06593        18.6127                 NaN   22.3940                 NaN            NaN            NaN            NaN            NaN
  14801.0        1358.85                 NaN   57.9288        1.03226        18.6115                 NaN   22.4275                 NaN            NaN            NaN            NaN            NaN
  14901.0        1359.64                 NaN   57.9304       0.993328        18.6087                 NaN   22.4676                 NaN            NaN            NaN            NaN            NaN
  15001.0        1360.43                 NaN   57.9317       0.961854        18.6081                 NaN   22.4983                 NaN            NaN            NaN            NaN            NaN
  15101.0        1361.22                 NaN   57.9329       0.930380        18.6076                 NaN   22.5291                 NaN            NaN            NaN            NaN            NaN
  15201.0        1362.01                 NaN   57.9340       0.902860        18.6083                 NaN   22.5549                 NaN            NaN            NaN            NaN            NaN
  15301.0        1362.81                 NaN   57.9348       0.877968        18.6098                 NaN   22.5774                 NaN            NaN            NaN            NaN            NaN
  15401.0        1363.60                 NaN   57.9360       0.847372        18.6095                 NaN   22.6071                 NaN            NaN            NaN            NaN            NaN
  15501.0        1364.39                 NaN   57.9370       0.820286        18.6103                 NaN   22.6324                 NaN            NaN            NaN            NaN            NaN
  15601.0        1365.18                 NaN   57.9386       0.783112        18.6080                 NaN   22.6703                 NaN            NaN            NaN            NaN            NaN
  15701.0        1365.97                 NaN   57.9384       0.777529        18.6158                 NaN   22.6683                 NaN            NaN            NaN            NaN            NaN
  15801.0        1366.76                 NaN   57.9393       0.752480        18.6173                 NaN   22.6909                 NaN            NaN            NaN            NaN            NaN
  15901.0        1367.55                 NaN   57.9401       0.727431        18.6188                 NaN   22.7136                 NaN            NaN            NaN            NaN            NaN
  16001.0        1368.34                 NaN   57.9410       0.702381        18.6204                 NaN   22.7362                 NaN            NaN            NaN            NaN            NaN
  16101.0        1369.13                 NaN   57.9419       0.677331        18.6219                 NaN   22.7589                 NaN            NaN            NaN            NaN            NaN
  16201.0        1369.92                 NaN   57.9428       0.652280        18.6234                 NaN   22.7816                 NaN            NaN            NaN            NaN            NaN
  16301.0        1370.71                 NaN   57.9431       0.636991        18.6265                 NaN   22.7934                 NaN            NaN            NaN            NaN            NaN
  16401.0        1371.50                 NaN   57.9440       0.612780        18.6281                 NaN   22.8151                 NaN            NaN            NaN            NaN            NaN
  16501.0        1372.29                 NaN   57.9456       0.572733        18.6265                 NaN   22.8552                 NaN            NaN            NaN            NaN            NaN
  16601.0        1373.08                 NaN   57.9481       0.519848        18.6190                 NaN   22.9131                 NaN            NaN            NaN            NaN            NaN
  16701.0        1373.87                 NaN   57.9489       0.495710        18.6208                 NaN   22.9347                 NaN            NaN            NaN            NaN            NaN
  16801.0        1374.66                 NaN   57.9497       0.471571        18.6226                 NaN   22.9562                 NaN            NaN            NaN            NaN            NaN
  16901.0        1375.45                 NaN   57.9505       0.447434        18.6244                 NaN   22.9777                 NaN            NaN            NaN            NaN            NaN
  17001.0        1376.23                 NaN   57.9513       0.423297        18.6262                 NaN   22.9992                 NaN            NaN            NaN            NaN            NaN
  17101.0        1377.02                 NaN   57.9521       0.399160        18.6280                 NaN   23.0208                 NaN            NaN            NaN            NaN            NaN
  17201.0        1377.81                 NaN   57.9529       0.375024        18.6298                 NaN   23.0423                 NaN            NaN            NaN            NaN            NaN
  17301.0        1378.60                 NaN   57.9528       0.368529        18.6369                 NaN   23.0418                 NaN            NaN            NaN            NaN            NaN
  17401.0        1379.39                 NaN   57.9568       0.271715        18.6379                 NaN   23.1336                 NaN            NaN            NaN            NaN            NaN
  17501.0        1380.17                 NaN   57.9543       0.322392        18.6401                 NaN   23.0832                 NaN            NaN            NaN            NaN            NaN
  17601.0        1380.96                 NaN   57.9556       0.290515        18.6389                 NaN   23.1150                 NaN            NaN            NaN            NaN            NaN
  17701.0        1381.75                 NaN   57.9569       0.256557        18.6391                 NaN   23.1475                 NaN            NaN            NaN            NaN            NaN
  17801.0        1382.53                 NaN   57.9575       0.235490        18.6414                 NaN   23.1656                 NaN            NaN            NaN            NaN            NaN
  17901.0        1383.32                 NaN   57.9582       0.214423        18.6437                 NaN   23.1837                 NaN            NaN            NaN            NaN            NaN
  18001.0        1384.11                 NaN   57.9588       0.193358        18.6460                 NaN   23.2018                 NaN            NaN            NaN            NaN            NaN
  18101.0        1384.89                 NaN   57.9594       0.172293        18.6483                 NaN   23.2199                 NaN            NaN            NaN            NaN            NaN
  18201.0        1385.68                 NaN   57.9601       0.151228        18.6506                 NaN   23.2381                 NaN            NaN            NaN            NaN            NaN
  18301.0        1386.46                 NaN   57.9607       0.130165        18.6529                 NaN   23.2562                 NaN            NaN            NaN            NaN            NaN
  18401.0        1387.25                 NaN   57.9614       0.109101        18.6552                 NaN   23.2743                 NaN            NaN            NaN            NaN            NaN
  18501.0        1388.04                 NaN   57.9614       0.102904        18.6558                 NaN   23.2799                 NaN            NaN            NaN            NaN            NaN
  18601.0        1388.82                 NaN   57.9613       0.102901        18.6556                 NaN   23.2802                 NaN            NaN            NaN            NaN            NaN
  18701.0        1389.61                 NaN   57.9611       0.102898        18.6554                 NaN   23.2806                 NaN            NaN            NaN            NaN            NaN
  18801.0        1390.39                 NaN   57.9609       0.102895        18.6552                 NaN   23.2810                 NaN            NaN            NaN            NaN            NaN
  18901.0        1391.17                 NaN   57.9656                 NaN   18.6447                 NaN   23.3898                 NaN            NaN            NaN            NaN            NaN
  19001.0        1391.96                 NaN   57.9654                 NaN   18.6445                 NaN   23.3901                 NaN            NaN            NaN            NaN            NaN
  19101.0        1392.74                 NaN   57.9652                 NaN   18.6443                 NaN   23.3905                 NaN            NaN            NaN            NaN            NaN
  19201.0        1393.53                 NaN   57.9650                 NaN   18.6441                 NaN   23.3908                 NaN            NaN            NaN            NaN            NaN
  19301.0        1394.31                 NaN   57.9648                 NaN   18.6440                 NaN   23.3912                 NaN            NaN            NaN            NaN            NaN
  19401.0        1395.09                 NaN   57.9652                 NaN   18.6300                 NaN   23.4048                 NaN            NaN            NaN            NaN            NaN
  19501.0        1395.88                 NaN   57.9653                 NaN   18.6217                 NaN   23.4130                 NaN            NaN            NaN            NaN            NaN
  19601.0        1396.66                 NaN   57.9654                 NaN   18.6134                 NaN   23.4212                 NaN            NaN            NaN            NaN            NaN
  19701.0        1397.44                 NaN   57.9655                 NaN   18.6051                 NaN   23.4294                 NaN            NaN            NaN            NaN            NaN
  19801.0        1398.22                 NaN   57.9656                 NaN   18.5968                 NaN   23.4376                 NaN            NaN            NaN            NaN            NaN
  19901.0        1399.01                 NaN   57.9657                 NaN   18.5885                 NaN   23.4458                 NaN            NaN            NaN            NaN            NaN
  20001.0        1399.79                 NaN   57.9659                 NaN   18.5802                 NaN   23.4540                 NaN            NaN            NaN            NaN            NaN
  20101.0        1400.57                 NaN   57.9660                 NaN   18.5719                 NaN   23.4622                 NaN            NaN            NaN            NaN            NaN
  20201.0        1401.35                 NaN   57.9661                 NaN   18.5635                 NaN   23.4704                 NaN            NaN            NaN            NaN            NaN
  20301.0        1402.13                 NaN   57.9662                 NaN   18.5552                 NaN   23.4785                 NaN            NaN            NaN            NaN            NaN
  20401.0        1402.91                 NaN   57.9663                 NaN   18.5469                 NaN   23.4867                 NaN            NaN            NaN            NaN            NaN
  20501.0        1403.70                 NaN   57.9664                 NaN   18.5386                 NaN   23.4949                 NaN            NaN            NaN            NaN            NaN
  20601.0        1404.48                 NaN   57.9666                 NaN   18.5303                 NaN   23.5031                 NaN            NaN            NaN            NaN            NaN
  20701.0        1405.26                 NaN   57.9667                 NaN   18.5220                 NaN   23.5113                 NaN            NaN            NaN            NaN            NaN
  20801.0        1406.04                 NaN   57.9668                 NaN   18.5137                 NaN   23.5195                 NaN            NaN            NaN            NaN            NaN
  20901.0        1406.82                 NaN   57.9669                 NaN   18.5054                 NaN   23.5277                 NaN            NaN            NaN            NaN            NaN
  21001.0        1407.60                 NaN   57.9670                 NaN   18.4971                 NaN   23.5359                 NaN            NaN            NaN            NaN            NaN
  21101.0        1408.38                 NaN   57.9671                 NaN   18.4888                 NaN   23.5441                 NaN            NaN            NaN            NaN            NaN
  21201.0        1409.16                 NaN   57.9672                 NaN   18.4805                 NaN   23.5523                 NaN            NaN            NaN            NaN            NaN
  21301.0        1409.93                 NaN   57.9674                 NaN   18.4722                 NaN   23.5605                 NaN            NaN            NaN            NaN            NaN
  21401.0        1410.71                 NaN   57.9675                 NaN   18.4639                 NaN   23.5687                 NaN            NaN            NaN            NaN            NaN
  21501.0        1411.49                 NaN   57.9676                 NaN   18.4556                 NaN   23.5768                 NaN            NaN            NaN            NaN            NaN
  21601.0        1412.27                 NaN   57.9677                 NaN   18.4473                 NaN   23.5850                 NaN            NaN            NaN            NaN            NaN
  21701.0        1413.05                 NaN   57.9678                 NaN   18.4390                 NaN   23.5932                 NaN            NaN            NaN            NaN            NaN
  21801.0        1413.83                 NaN   57.9679                 NaN   18.4307                 NaN   23.6014                 NaN            NaN            NaN            NaN            NaN
  21901.0        1414.60                 NaN   57.9680                 NaN   18.4223                 NaN   23.6096                 NaN            NaN            NaN            NaN            NaN
  22001.0        1415.38                 NaN   57.9681                 NaN   18.4140                 NaN   23.6178                 NaN            NaN            NaN            NaN            NaN
  22101.0        1416.16                 NaN   57.9683                 NaN   18.4057                 NaN   23.6260                 NaN            NaN            NaN            NaN            NaN
  22201.0        1416.93                 NaN   57.9684                 NaN   18.3974                 NaN   23.6342                 NaN            NaN            NaN            NaN            NaN
  22301.0        1417.71                 NaN   57.9685                 NaN   18.3891                 NaN   23.6424                 NaN            NaN            NaN            NaN            NaN
  22401.0        1418.49                 NaN   57.9686                 NaN   18.3808                 NaN   23.6506                 NaN            NaN            NaN            NaN            NaN
