|6.6.6
mars1_2.tab                                                                                         
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           3
P(bar)         T(K)           rho,kg/m3     
  2681.00        1287.73        3316.67     
  2691.00        1287.77        3316.73     
  2701.00        1287.82        3316.79     
  2711.00        1287.87        3316.85     
  2721.00        1287.92        3316.91     
  2731.00        1287.97        3316.97     
  2741.00        1288.02        3317.03     
  2751.00        1288.07        3317.09     
  2761.00        1288.12        3317.15     
  2771.00        1288.17        3317.21     
  2781.00        1288.21        3317.27     
  2791.00        1288.26        3317.33     
  2801.00        1288.31        3317.39     
  2811.00        1288.36        3317.45     
  2821.00        1288.41        3317.51     
  2831.00        1288.46        3317.57     
  2841.00        1288.51        3317.63     
  2851.00        1288.56        3317.70     
  2861.00        1288.61        3317.76     
  2871.00        1288.66        3317.82     
  2881.00        1288.70        3317.88     
  2891.00        1288.75        3317.94     
  2901.00        1288.80        3318.00     
  2911.00        1288.85        3318.06     
  2921.00        1288.90        3318.12     
  2931.00        1288.95        3318.18     
  2941.00        1289.00        3318.24     
  2951.00        1289.05        3318.30     
  2961.00        1289.10        3318.36     
  2971.00        1289.15        3318.42     
  2981.00        1289.20        3318.48     
  2991.00        1289.24        3318.54     
  3001.00        1289.29        3318.60     
  3011.00        1289.34        3318.66     
  3021.00        1289.39        3318.72     
  3031.00        1289.44        3318.78     
  3041.00        1289.49        3318.84     
  3051.00        1289.54        3318.90     
  3061.00        1289.59        3318.97     
  3071.00        1289.64        3319.03     
  3081.00        1289.69        3319.09     
  3091.00        1289.74        3319.15     
  3101.00        1289.79        3319.21     
  3111.00        1289.83        3319.27     
  3121.00        1289.88        3319.33     
  3131.00        1289.93        3319.39     
  3141.00        1289.98        3319.45     
  3151.00        1290.03        3319.51     
  3161.00        1290.08        3319.57     
  3171.00        1290.13        3319.63     
  3181.00        1290.18        3319.69     
  3191.00        1290.23        3319.75     
  3201.00        1290.28        3319.81     
  3211.00        1290.33        3319.87     
  3221.00        1290.38        3319.93     
  3231.00        1290.43        3319.99     
  3241.00        1290.48        3320.05     
  3251.00        1290.53        3320.11     
  3261.00        1290.57        3320.17     
  3271.00        1290.62        3320.23     
  3281.00        1290.67        3320.29     
  3291.00        1290.72        3320.35     
  3301.00        1290.77        3320.42     
  3311.00        1290.82        3320.48     
  3321.00        1290.87        3320.54     
  3331.00        1290.92        3320.60     
  3341.00        1290.97        3320.66     
  3351.00        1291.02        3320.72     
  3361.00        1291.07        3320.78     
  3371.00        1291.12        3320.84     
  3381.00        1291.17        3320.90     
  3391.00        1291.22        3320.96     
  3401.00        1291.27        3321.02     
  3411.00        1291.32        3321.08     
  3421.00        1291.37        3321.14     
  3431.00        1291.42        3321.20     
  3441.00        1291.47        3321.26     
