|6.6.6
mars_t13_atm_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  4901.00        519.962        24.6861                 NaN   96.7356                 NaN   35.4735                 NaN            NaN            NaN   24.6861        19.8626        19.8626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        523.985        24.6758                 NaN   96.7363                 NaN   35.4852                 NaN            NaN            NaN   24.6758        19.8867        19.8867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        527.998        24.6697                 NaN   96.7367                 NaN   35.4909                 NaN            NaN            NaN   24.6697        19.8992        19.8992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        532.001        24.6592                 NaN   96.7374                 NaN   35.5027                 NaN            NaN            NaN   24.6592        19.9237        19.9237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        535.993        24.6527                 NaN   96.7377                 NaN   35.5087                 NaN            NaN            NaN   24.6527        19.9368        19.9368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        539.974        24.6419                 NaN   96.7384                 NaN   35.5207                 NaN            NaN            NaN   24.6419        19.9617        19.9617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        543.945        24.6355                 NaN   96.7382                 NaN   35.5245                 NaN            NaN            NaN   24.6355        19.9711        19.9711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        547.905        24.6244                 NaN   96.7389                 NaN   35.5370                 NaN            NaN            NaN   24.6244        19.9970        19.9970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        551.854        24.6133                 NaN   96.7400                 NaN   35.5517                 NaN            NaN            NaN   24.6133        20.0268        20.0268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        555.794        24.6020                 NaN   96.7407                 NaN   35.5642                 NaN            NaN            NaN   24.6020        20.0526        20.0526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
