|6.6.6
mars_ma79_ath_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  4501.00        622.159        5.96371        53.4902        22.1270                 NaN            NaN            NaN            NaN            NaN            NaN   2.95333                 NaN   15.4658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        628.497        8.12738        48.6397        22.1017                 NaN            NaN            NaN            NaN            NaN            NaN  0.565178                 NaN   20.5660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        634.803        8.63500        47.4970        22.0979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        641.077        8.63315        47.4991        22.0991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        647.319        8.62863        47.5038        22.1019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        653.531        8.62472        47.5080        22.1042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        659.710        8.62015        47.5128        22.1070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        665.859        8.61571        47.5176        22.1096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        671.976        8.61084        47.5228        22.1125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        678.062        8.60622        47.5277        22.1152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        684.118        8.60141        47.5328        22.1179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        690.143        8.59624        47.5383        22.1209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        696.137        8.59062        47.5443        22.1239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        702.101        8.58571        47.5496        22.1269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        708.034        8.58023        47.5555        22.1297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        713.938        8.57483        47.5613        22.1329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
