|6.6.6
mars_ma79_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  4201.00        417.410                 NaN   89.0182        22.1484                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        420.478                 NaN   98.5504        31.6786                 NaN            NaN            NaN            NaN  0.426278E-002            NaN   9.53467        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        423.541                 NaN   98.5504        31.6786                 NaN            NaN            NaN            NaN  0.426241E-002            NaN   9.53466        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        426.599                 NaN   89.0187        22.1489                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        429.651                 NaN   89.0186        22.1487                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        432.697                 NaN   89.0190        22.1492                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        435.739                 NaN   89.0194        22.1498                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        438.774                 NaN   89.0198        22.1504                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        441.805                 NaN   89.0201        22.1509                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        444.830                 NaN   89.0203        22.1511                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        447.850                 NaN   89.0206        22.1515                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        450.864                 NaN   89.0208        22.1518                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        453.873                 NaN   89.0210        22.1522                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
