|6.6.6
mars_lf97_atm_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  3501.00        462.503        41.8578                 NaN   98.1287                 NaN   31.3258                 NaN            NaN            NaN   21.5167        21.5167        21.5167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        466.678        41.8808                 NaN   98.1342                 NaN   31.3888                 NaN            NaN            NaN   21.5550        21.5550        21.5550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        470.842        41.8743                 NaN   98.1300                 NaN   31.3924                 NaN            NaN            NaN   21.5517        21.5517        21.5517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        474.994        41.9309                 NaN   98.1624                 NaN   31.4272                 NaN            NaN            NaN   21.6045        21.6045        21.6045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        479.136        41.8995                 NaN   98.1388                 NaN   31.4483                 NaN            NaN            NaN   21.5891        21.5891        21.5891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        483.267        41.9037                 NaN   98.1357                 NaN   31.4872                 NaN            NaN            NaN   21.6055        21.6055        21.6055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        487.388        41.9144                 NaN   98.1385                 NaN   31.5174                 NaN            NaN            NaN   21.6237        21.6237        21.6237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        491.497        41.9243                 NaN   98.1405                 NaN   31.5486                 NaN            NaN            NaN   21.6416        21.6416        21.6416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        495.596        41.9308                 NaN   98.1396                 NaN   31.5840                 NaN            NaN            NaN   21.6584        21.6584        21.6584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        499.683        41.9373                 NaN   98.1387                 NaN   31.6193                 NaN            NaN            NaN   21.6753        21.6753        21.6753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        503.761        41.9459                 NaN   98.1248                 NaN   31.7406                 NaN            NaN            NaN   21.7232        21.7232        21.7232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        507.827        42.1449                 NaN   98.2185                 NaN   31.9654                 NaN            NaN            NaN   21.9397        21.9397        21.9397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        511.883        42.1522                 NaN   98.2132                 NaN   32.0304                 NaN            NaN            NaN   21.9671        21.9671        21.9671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        515.927        42.1729                 NaN   98.2120                 NaN   32.1235                 NaN            NaN            NaN   22.0137        22.0137        22.0137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        519.962        42.1598                 NaN   98.1523                 NaN   32.4282                 NaN            NaN            NaN   22.1059        22.1059        22.1059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        523.985        42.1807                 NaN   98.1530                 NaN   32.5108                 NaN            NaN            NaN   22.1489        22.1489        22.1489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        527.998        42.1439                 NaN   98.1582                 NaN   32.3393                 NaN            NaN            NaN   22.0647        22.0647        22.0647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        532.001        42.1564                 NaN   98.1597                 NaN   32.3839                 NaN            NaN            NaN   22.0889        22.0889        22.0889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        535.993        42.3057                 NaN   98.1464                 NaN   33.0570                 NaN            NaN            NaN   22.4248        22.4248        22.4248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        539.974        42.3238                 NaN   98.1474                 NaN   33.1266                 NaN            NaN            NaN   22.4614        22.4614        22.4614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        543.945        42.3409                 NaN   98.1483                 NaN   33.1928                 NaN            NaN            NaN   22.4962        22.4962        22.4962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        547.905        42.3590                 NaN   98.1492                 NaN   33.2621                 NaN            NaN            NaN   22.5327        22.5327        22.5327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
