|6.6.6
mars_t13_atl_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  5301.00        450.864                 NaN            NaN   59.7504                 NaN   3.35103        10.4804                 NaN            NaN            NaN   3.33575        23.0824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        453.873                 NaN            NaN   59.7508                 NaN   3.35103        10.4804                 NaN            NaN            NaN   3.33576        23.0820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        456.876                 NaN            NaN   59.7512                 NaN   3.35103        10.4804                 NaN            NaN            NaN   3.33577        23.0816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        459.875                 NaN            NaN   59.7518                 NaN   10.5065        3.32554                 NaN            NaN            NaN   3.33560        23.0805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        462.867                 NaN            NaN   59.7522                 NaN   10.5066        3.32554                 NaN            NaN            NaN   3.33562        23.0801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        465.855                 NaN            NaN   59.7530                 NaN   10.5344        3.29839                 NaN            NaN            NaN   3.33540        23.0788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        468.837                 NaN            NaN   59.7534                 NaN   10.5344        3.29839                 NaN            NaN            NaN   3.33542        23.0784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        471.814                 NaN            NaN   59.7538                 NaN   10.5344        3.29839                 NaN            NaN            NaN   3.33543        23.0780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        474.785                 NaN            NaN   59.7574                 NaN   10.5955        3.23853                 NaN            NaN            NaN   3.33513        23.0734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        477.752                 NaN            NaN   59.7578                 NaN   10.5956        3.23853                 NaN            NaN            NaN   3.33514        23.0730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        480.712                 NaN            NaN   59.7582                 NaN   10.5956        3.23852                 NaN            NaN            NaN   3.33516        23.0726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        483.668                 NaN            NaN   59.7564                 NaN   10.5956        3.23859                 NaN            NaN            NaN   3.33498        23.0745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        486.618                 NaN            NaN   59.7568                 NaN   10.5956        3.23858                 NaN            NaN            NaN   3.33500        23.0740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        489.563                 NaN            NaN   59.7593                 NaN   10.5956        3.23852                 NaN            NaN            NaN   3.33520        23.0713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        492.503                 NaN            NaN   59.7597                 NaN   10.5956        3.23852                 NaN            NaN            NaN   3.33522        23.0709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        495.437                 NaN            NaN   59.7601                 NaN   10.5957        3.23852                 NaN            NaN            NaN   3.33523        23.0705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        498.367                 NaN            NaN   59.7605                 NaN   10.5957        3.23852                 NaN            NaN            NaN   3.33525        23.0701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        501.290                 NaN            NaN   59.7609                 NaN   10.5957        3.23852                 NaN            NaN            NaN   3.33526        23.0697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        504.209                 NaN            NaN   59.7607                 NaN   10.7445        3.09274                 NaN            NaN            NaN   3.33349        23.0685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        507.122                 NaN            NaN   59.7611                 NaN   10.7446        3.09274                 NaN            NaN            NaN   3.33351        23.0681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        510.031                 NaN            NaN   59.7615                 NaN   10.7446        3.09274                 NaN            NaN            NaN   3.33352        23.0677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        512.933                 NaN            NaN   59.7619                 NaN   10.7446        3.09274                 NaN            NaN            NaN   3.33354        23.0672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        515.831                 NaN            NaN   59.7623                 NaN   10.7446        3.09274                 NaN            NaN            NaN   3.33356        23.0668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        518.724                 NaN            NaN   59.7627                 NaN   10.7446        3.09274                 NaN            NaN            NaN   3.33357        23.0664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
