|6.6.6
mars_kc08_ath_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  5001.00        653.531        52.4279                 NaN   9.10313                 NaN            NaN            NaN            NaN            NaN   35.0636                 NaN   3.40531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        659.710        52.4349                 NaN   9.10324                 NaN            NaN            NaN            NaN            NaN   35.0624                 NaN   3.39947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        665.859        52.4418                 NaN   9.10327                 NaN            NaN            NaN            NaN            NaN   35.0610                 NaN   3.39386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        671.976        52.4494                 NaN   9.10330                 NaN            NaN            NaN            NaN            NaN   35.0598                 NaN   3.38745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        678.062        52.4568                 NaN   9.10329                 NaN            NaN            NaN            NaN            NaN   35.0585                 NaN   3.38148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        684.118        52.4643                 NaN   9.10324                 NaN            NaN            NaN            NaN            NaN   35.0573                 NaN   3.37517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        690.143        52.4725                 NaN   9.10305                 NaN            NaN            NaN            NaN            NaN   35.0562                 NaN   3.36826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        696.137        52.4815                 NaN   9.10270                 NaN            NaN            NaN            NaN            NaN   35.0551                 NaN   3.36062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        702.101        52.4893                 NaN   9.10279                 NaN            NaN            NaN            NaN            NaN   35.0538                 NaN   3.35410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        708.034        52.4981                 NaN   9.10236                 NaN            NaN            NaN            NaN            NaN   35.0528                 NaN   3.34670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        713.938        52.5069                 NaN   9.10224                 NaN            NaN            NaN            NaN            NaN   35.0515                 NaN   3.33936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        719.811        52.5162                 NaN   9.10185                 NaN            NaN            NaN            NaN            NaN   35.0505                 NaN   3.33139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        725.654        52.5257                 NaN   9.10145                 NaN            NaN            NaN            NaN            NaN   35.0496                 NaN   3.32332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        731.468        52.5885                 NaN   9.09076                 NaN            NaN            NaN            NaN            NaN   35.0550                 NaN   3.26575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        737.251        52.6028                 NaN   9.08918                 NaN            NaN            NaN            NaN            NaN   35.0548                 NaN   3.25323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        743.005        52.6144                 NaN   9.08818                 NaN            NaN            NaN            NaN            NaN   35.0542                 NaN   3.24315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        748.730        52.5616                 NaN   9.09943                 NaN            NaN            NaN            NaN            NaN   35.0462                 NaN   3.29273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        754.426        52.6426                 NaN   9.08433                 NaN            NaN            NaN            NaN            NaN   35.0544                 NaN   3.21860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        760.092        52.6571                 NaN   9.08248                 NaN            NaN            NaN            NaN            NaN   35.0545                 NaN   3.20595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        765.729        52.5992                 NaN   9.09692                 NaN            NaN            NaN            NaN            NaN   35.0437                 NaN   3.26025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        771.337        52.6804                 NaN   9.08002                 NaN            NaN            NaN            NaN            NaN   35.0536                 NaN   3.18599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        776.916        52.6971                 NaN   9.07598                 NaN            NaN            NaN            NaN            NaN   35.0555                 NaN   3.17139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        782.466        52.6343                 NaN   9.09405                 NaN            NaN            NaN            NaN            NaN   35.0419                 NaN   3.22977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        787.988        52.6475                 NaN   9.09265                 NaN            NaN            NaN            NaN            NaN   35.0415                 NaN   3.21830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        793.482        52.7367                 NaN   9.07046                 NaN            NaN            NaN            NaN            NaN   35.0558                 NaN   3.13707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        798.947        52.6715                 NaN   9.09078                 NaN            NaN            NaN            NaN            NaN   35.0403                 NaN   3.19746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        804.384        52.6843                 NaN   9.08956                 NaN            NaN            NaN            NaN            NaN   35.0399                 NaN   3.18632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
