|6.6.6
mars_s99_atl_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  6101.00        474.785                 NaN            NaN   39.3922                 NaN   8.38205        8.22229                 NaN            NaN            NaN  0.802922        43.2005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        477.752                 NaN            NaN   39.3927                 NaN   8.38209        8.22235                 NaN            NaN            NaN  0.802929        43.2000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        480.712                 NaN            NaN   39.3931                 NaN   8.38213        8.22241                 NaN            NaN            NaN  0.802937        43.1994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        483.668                 NaN            NaN   39.3904                 NaN   8.22231        8.38230                 NaN            NaN            NaN  0.802584        43.2024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        486.618                 NaN            NaN   39.3909                 NaN   8.22237        8.38234                 NaN            NaN            NaN  0.802592        43.2018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        489.563                 NaN            NaN   39.3945                 NaN   8.38226        8.22258                 NaN            NaN            NaN  0.802960        43.1977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        492.503                 NaN            NaN   39.3950                 NaN   8.38230        8.22264                 NaN            NaN            NaN  0.802968        43.1971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        495.437                 NaN            NaN   39.3955                 NaN   8.38234        8.22269                 NaN            NaN            NaN  0.802976        43.1965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        498.367                 NaN            NaN   39.3959                 NaN   8.38238        8.22275                 NaN            NaN            NaN  0.802984        43.1960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        501.290                 NaN            NaN   39.3964                 NaN   8.38242        8.22281                 NaN            NaN            NaN  0.802992        43.1954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        504.209                 NaN            NaN   39.3955                 NaN   8.41654        8.19107                 NaN            NaN            NaN  0.799386        43.1975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
