|6.6.6
mars_s99_atm_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  5101.00        527.998        12.3815                 NaN   43.8008                 NaN   8.69365                 NaN            NaN            NaN            NaN  0.701905        34.4221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        532.001        12.3535                 NaN   43.7903                 NaN   8.71133                 NaN            NaN            NaN            NaN  0.700082        34.4448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        535.993        12.3387                 NaN   43.7852                 NaN   8.72063                 NaN            NaN            NaN            NaN  0.698614        34.4569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        539.974        12.3100                 NaN   43.7745                 NaN   8.73873                 NaN            NaN            NaN            NaN  0.696816        34.4800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        543.945        12.2936                 NaN   43.7690                 NaN   8.74870                 NaN            NaN            NaN            NaN  0.695391        34.4933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        547.905        12.2643                 NaN   43.7581                 NaN   8.76718                 NaN            NaN            NaN            NaN  0.693622        34.5168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        551.854        12.2467                 NaN   43.7520                 NaN   8.77823                 NaN            NaN            NaN            NaN  0.692292        34.5307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        555.794        12.2167                 NaN   43.7409                 NaN   8.79716                 NaN            NaN            NaN            NaN  0.690560        34.5546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        559.722        12.1955                 NaN   43.7347                 NaN   8.81048                 NaN            NaN            NaN            NaN  0.690277        34.5690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        563.641        12.1643                 NaN   43.7229                 NaN   8.83022                 NaN            NaN            NaN            NaN  0.688384        34.5942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        567.548        12.1403                 NaN   43.7134                 NaN   8.84503                 NaN            NaN            NaN            NaN  0.685829        34.6154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        571.446        12.1089                 NaN   43.7018                 NaN   8.86492                 NaN            NaN            NaN            NaN  0.684202        34.6402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        575.333        12.0836                 NaN   43.6937                 NaN   8.88096                 NaN            NaN            NaN            NaN  0.683643        34.6581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        579.210        12.0510                 NaN   43.6815                 NaN   8.90156                 NaN            NaN            NaN            NaN  0.681832        34.6841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        583.076        12.0304                 NaN   43.6751                 NaN   8.91453                 NaN            NaN            NaN            NaN  0.681276        34.6987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        586.932        11.9962                 NaN   43.6624                 NaN   8.93620                 NaN            NaN            NaN            NaN  0.679563        34.7257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        590.778        11.9620                 NaN   43.6497                 NaN   8.95784                 NaN            NaN            NaN            NaN  0.677859        34.7526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        594.613        11.9251                 NaN   43.6360                 NaN   8.98122                 NaN            NaN            NaN            NaN  0.676188        34.7815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
