|6.6.6
mars_t13_ath_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  3701.00        570.294        25.1721                 NaN   96.8493                 NaN   35.4422                 NaN            NaN            NaN   25.1721        19.5453        19.5453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        576.891        25.2723                 NaN   96.8947                 NaN   35.5272                 NaN            NaN            NaN   25.2723        19.6296        19.6296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        583.456        25.2544                 NaN   96.8953                 NaN   35.5458                 NaN            NaN            NaN   25.2544        19.6683        19.6683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        589.988        25.2163                 NaN   96.8707                 NaN   35.4774                 NaN            NaN            NaN   25.2163        19.5767        19.5767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        596.487        31.5300                 NaN   98.9462                 NaN   41.7445                 NaN            NaN            NaN   31.5300        25.8451        25.8451                 NaN   1.86979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        602.953        31.5291                 NaN   98.9462                 NaN   41.7437                 NaN            NaN            NaN   31.5291        25.8447        25.8447                 NaN   1.86979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        609.388        34.7287                 NaN   100.000                 NaN   44.9054                 NaN            NaN            NaN   34.7287        29.0004        29.0004                 NaN   2.80826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        615.789        34.6976                 NaN   100.000                 NaN   44.9801                 NaN            NaN            NaN   34.6976        29.1299        29.1299                 NaN   2.82912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        622.159        34.6828                 NaN   100.000                 NaN   44.9706                 NaN            NaN            NaN   34.6828        29.1243        29.1243                 NaN   2.81883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        628.497        34.6693                 NaN   100.000                 NaN   44.9734                 NaN            NaN            NaN   34.6693        29.1358        29.1358                 NaN   2.81489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        634.803        34.6040                 NaN   100.000                 NaN   44.9312                 NaN            NaN            NaN   34.6040        29.1158        29.1158                 NaN   2.76511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        641.077        34.6428                 NaN   100.000                 NaN   44.9815                 NaN            NaN            NaN   34.6428        29.1622        29.1622                 NaN   2.80830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        647.319        34.6128                 NaN   100.000                 NaN   44.9614                 NaN            NaN            NaN   34.6128        29.1505        29.1505                 NaN   2.78589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        653.531        34.6023                 NaN   100.000                 NaN   44.9655                 NaN            NaN            NaN   34.6023        29.1625        29.1625                 NaN   2.78395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        659.710        34.5872                 NaN   100.000                 NaN   44.9772                 NaN            NaN            NaN   34.5872        29.1878        29.1878                 NaN   2.78335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        665.859        34.5464                 NaN   100.000                 NaN   44.9384                 NaN            NaN            NaN   34.5464        29.1567        29.1567                 NaN   2.74685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        671.976        34.5357                 NaN   100.000                 NaN   44.9193                 NaN            NaN            NaN   34.5357        29.1329        29.1329                 NaN   2.73439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        678.062        34.5308                 NaN   100.000                 NaN   44.9551                 NaN            NaN            NaN   34.5308        29.1876        29.1876                 NaN   2.74969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        684.118        34.5109                 NaN   100.000                 NaN   44.9381                 NaN            NaN            NaN   34.5109        29.1741        29.1741                 NaN   2.73346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        690.143        34.4887                 NaN   100.000                 NaN   44.8997                 NaN            NaN            NaN   34.4887        29.1304        29.1304                 NaN   2.70637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        696.137        34.4614                 NaN   100.000                 NaN   44.8089                 NaN            NaN            NaN   34.4614        29.0131        29.0131                 NaN   2.65278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        702.101        34.3881                 NaN   100.000                 NaN   44.9004                 NaN            NaN            NaN   34.3881        29.1944        29.1944                 NaN   2.66064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        708.034        34.3385                 NaN   100.000                 NaN   44.7529                 NaN            NaN            NaN   34.3385        29.0094        29.0094                 NaN   2.57000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        713.938        34.4229                 NaN   100.000                 NaN   44.9269                 NaN            NaN            NaN   34.4229        29.2062        29.2062                 NaN   2.69235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        719.811        34.3402                 NaN   100.000                 NaN   44.8743                 NaN            NaN            NaN   34.3402        29.1733        29.1733                 NaN   2.63049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        725.654        34.3168                 NaN   100.000                 NaN   44.8827                 NaN            NaN            NaN   34.3168        29.1985        29.1985                 NaN   2.62446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        731.468        34.2936                 NaN   100.000                 NaN   44.8914                 NaN            NaN            NaN   34.2936        29.2242        29.2242                 NaN   2.61859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        737.251        34.2864                 NaN   100.000                 NaN   45.0093                 NaN            NaN            NaN   34.2864        29.3978        29.3978                 NaN   2.67081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
