|6.6.6
mars_lf97_ath_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  7001.00        771.337        46.9289                 NaN   100.000                 NaN   36.5952                 NaN            NaN            NaN   26.7119        26.7119        26.7119                 NaN   1.15050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        776.916        46.5433                 NaN   100.000                 NaN   35.7515                 NaN            NaN            NaN   26.1897        26.1897        26.1897                 NaN  0.946490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        782.466        46.9394                 NaN   100.000                 NaN   36.6891                 NaN            NaN            NaN   26.7514        26.7514        26.7514                 NaN   1.13670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        787.988        46.8744                 NaN   100.000                 NaN   36.5793                 NaN            NaN            NaN   26.6755        26.6755        26.6755                 NaN   1.09366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        793.482        46.9634                 NaN   100.000                 NaN   36.8392                 NaN            NaN            NaN   26.8192        26.8192        26.8192                 NaN   1.12189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        798.947        47.0169                 NaN   100.000                 NaN   36.9650                 NaN            NaN            NaN   26.8934        26.8934        26.8934                 NaN   1.14859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        804.384        47.0391                 NaN   100.000                 NaN   37.0489                 NaN            NaN            NaN   26.9358        26.9358        26.9358                 NaN   1.15053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        809.792        47.3365                 NaN   100.000                 NaN   37.8597                 NaN            NaN            NaN   27.3987        27.3987        27.3987                 NaN   1.26068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        815.173        46.7677                 NaN   100.000                 NaN   36.5392                 NaN            NaN            NaN   26.6008        26.6008        26.6008                 NaN  0.983924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        820.526        47.0974                 NaN   100.000                 NaN   37.2998                 NaN            NaN            NaN   27.0586        27.0586        27.0586                 NaN   1.14685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
